Tablica początkowa, Sortowanie Grzebieniowe,  Sortowanie poprzez wybór
czas sortowania: 1.85990334 ms| czas sortowania: 47.4653244 ms
   Element nr 70: 73 | 73
   Element nr 71: 77 | 77
   Element nr 72: 77 | 77
   Element nr 73: 78 | 78
   Element nr 74: 78 | 78
   Element nr 75: 79 | 79
   Element nr 76: 80 | 80
   Element nr 77: 80 | 80
   Element nr 78: 80 | 80
   Element nr 79: 81 | 81
   Element nr 80: 81 | 81
   Element nr 81: 81 | 81
   Element nr 82: 82 | 82
   Element nr 83: 82 | 82
   Element nr 84: 83 | 83
   Element nr 85: 84 | 84
   Element nr 86: 86 | 86
   Element nr 87: 87 | 87
   Element nr 88: 87 | 87
   Element nr 89: 87 | 87
   Element nr 90: 88 | 88
   Element nr 91: 89 | 89
   Element nr 92: 91 | 91
   Element nr 93: 91 | 91
   Element nr 94: 91 | 91
   Element nr 95: 93 | 93
   Element nr 96: 93 | 93
   Element nr 97: 94 | 94
   Element nr 98: 94 | 94
   Element nr 99: 95 | 95
   Element nr 100: 98 | 98
   Element nr 101: 99 | 99
   Element nr 102: 99 | 99
   Element nr 103: 99 | 99
   Element nr 104: 99 | 99
   Element nr 105: 103 | 103
   Element nr 106: 104 | 104
   Element nr 107: 107 | 107
   Element nr 108: 108 | 108
   Element nr 109: 108 | 108
   Element nr 110: 110 | 110
   Element nr 111: 110 | 110
   Element nr 112: 113 | 113
   Element nr 113: 113 | 113
   Element nr 114: 114 | 114
   Element nr 115: 115 | 115
   Element nr 116: 117 | 117
   Element nr 117: 117 | 117
   Element nr 118: 120 | 120
   Element nr 119: 121 | 121
   Element nr 120: 121 | 121
   Element nr 121: 125 | 125
   Element nr 122: 126 | 126
   Element nr 123: 127 | 127
   Element nr 124: 128 | 128
   Element nr 125: 129 | 129
   Element nr 126: 130 | 130
   Element nr 127: 130 | 130
   Element nr 128: 132 | 132
   Element nr 129: 134 | 134
   Element nr 130: 135 | 135
   Element nr 131: 135 | 135
   Element nr 132: 138 | 138
   Element nr 133: 138 | 138
   Element nr 134: 139 | 139
   Element nr 135: 139 | 139
   Element nr 136: 140 | 140
   Element nr 137: 146 | 146
   Element nr 138: 147 | 147
   Element nr 139: 147 | 147
   Element nr 140: 147 | 147
   Element nr 141: 148 | 148
   Element nr 142: 148 | 148
   Element nr 143: 148 | 148
   Element nr 144: 151 | 151
   Element nr 145: 152 | 152
   Element nr 146: 153 | 153
   Element nr 147: 153 | 153
   Element nr 148: 153 | 153
   Element nr 149: 154 | 154
   Element nr 150: 155 | 155
   Element nr 151: 156 | 156
   Element nr 152: 156 | 156
   Element nr 153: 157 | 157
   Element nr 154: 162 | 162
   Element nr 155: 167 | 167
   Element nr 156: 168 | 168
   Element nr 157: 170 | 170
   Element nr 158: 170 | 170
   Element nr 159: 172 | 172
   Element nr 160: 173 | 173
   Element nr 161: 174 | 174
   Element nr 162: 175 | 175
   Element nr 163: 175 | 175
   Element nr 164: 176 | 176
   Element nr 165: 176 | 176
   Element nr 166: 176 | 176
   Element nr 167: 177 | 177
   Element nr 168: 179 | 179
   Element nr 169: 180 | 180
   Element nr 170: 182 | 182
   Element nr 171: 182 | 182
   Element nr 172: 182 | 182
   Element nr 173: 182 | 182
   Element nr 174: 183 | 183
   Element nr 175: 183 | 183
   Element nr 176: 184 | 184
   Element nr 177: 185 | 185
   Element nr 178: 186 | 186
   Element nr 179: 187 | 187
   Element nr 180: 189 | 189
   Element nr 181: 189 | 189
   Element nr 182: 190 | 190
   Element nr 183: 191 | 191
   Element nr 184: 192 | 192
   Element nr 185: 192 | 192
   Element nr 186: 193 | 193
   Element nr 187: 194 | 194
   Element nr 188: 195 | 195
   Element nr 189: 195 | 195
   Element nr 190: 196 | 196
   Element nr 191: 198 | 198
   Element nr 192: 199 | 199
   Element nr 193: 200 | 200
   Element nr 194: 200 | 200
   Element nr 195: 200 | 200
   Element nr 196: 202 | 202
   Element nr 197: 202 | 202
   Element nr 198: 203 | 203
   Element nr 199: 204 | 204
   Element nr 200: 205 | 205
   Element nr 201: 206 | 206
   Element nr 202: 207 | 207
   Element nr 203: 207 | 207
   Element nr 204: 209 | 209
   Element nr 205: 209 | 209
   Element nr 206: 210 | 210
   Element nr 207: 210 | 210
   Element nr 208: 211 | 211
   Element nr 209: 212 | 212
   Element nr 210: 212 | 212
   Element nr 211: 214 | 214
   Element nr 212: 215 | 215
   Element nr 213: 215 | 215
   Element nr 214: 216 | 216
   Element nr 215: 216 | 216
   Element nr 216: 216 | 216
   Element nr 217: 216 | 216
   Element nr 218: 217 | 217
   Element nr 219: 217 | 217
   Element nr 220: 218 | 218
   Element nr 221: 218 | 218
   Element nr 222: 218 | 218
   Element nr 223: 219 | 219
   Element nr 224: 220 | 220
   Element nr 225: 223 | 223
   Element nr 226: 223 | 223
   Element nr 227: 224 | 224
   Element nr 228: 226 | 226
   Element nr 229: 227 | 227
   Element nr 230: 229 | 229
   Element nr 231: 229 | 229
   Element nr 232: 232 | 232
   Element nr 233: 233 | 233
   Element nr 234: 233 | 233
   Element nr 235: 233 | 233
   Element nr 236: 233 | 233
   Element nr 237: 233 | 233
   Element nr 238: 234 | 234
   Element nr 239: 235 | 235
   Element nr 240: 237 | 237
   Element nr 241: 238 | 238
   Element nr 242: 238 | 238
   Element nr 243: 240 | 240
   Element nr 244: 241 | 241
   Element nr 245: 242 | 242
   Element nr 246: 242 | 242
   Element nr 247: 243 | 243
   Element nr 248: 243 | 243
   Element nr 249: 245 | 245
   Element nr 250: 247 | 247
   Element nr 251: 250 | 250
   Element nr 252: 251 | 251
   Element nr 253: 251 | 251
   Element nr 254: 252 | 252
   Element nr 255: 253 | 253
   Element nr 256: 253 | 253
   Element nr 257: 253 | 253
   Element nr 258: 254 | 254
   Element nr 259: 254 | 254
   Element nr 260: 255 | 255
   Element nr 261: 255 | 255
   Element nr 262: 257 | 257
   Element nr 263: 258 | 258
   Element nr 264: 259 | 259
   Element nr 265: 261 | 261
   Element nr 266: 266 | 266
   Element nr 267: 268 | 268
   Element nr 268: 269 | 269
   Element nr 269: 271 | 271
   Element nr 270: 273 | 273
   Element nr 271: 273 | 273
   Element nr 272: 273 | 273
   Element nr 273: 274 | 274
   Element nr 274: 274 | 274
   Element nr 275: 275 | 275
   Element nr 276: 278 | 278
   Element nr 277: 279 | 279
   Element nr 278: 279 | 279
   Element nr 279: 280 | 280
   Element nr 280: 280 | 280
   Element nr 281: 282 | 282
   Element nr 282: 282 | 282
   Element nr 283: 286 | 286
   Element nr 284: 287 | 287
   Element nr 285: 287 | 287
   Element nr 286: 287 | 287
   Element nr 287: 287 | 287
   Element nr 288: 289 | 289
   Element nr 289: 289 | 289
   Element nr 290: 290 | 290
   Element nr 291: 290 | 290
   Element nr 292: 290 | 290
   Element nr 293: 291 | 291
   Element nr 294: 292 | 292
   Element nr 295: 293 | 293
   Element nr 296: 293 | 293
   Element nr 297: 295 | 295
   Element nr 298: 296 | 296
   Element nr 299: 298 | 298
   Element nr 300: 299 | 299
   Element nr 301: 299 | 299
   Element nr 302: 301 | 301
   Element nr 303: 302 | 302
   Element nr 304: 303 | 303
   Element nr 305: 304 | 304
   Element nr 306: 305 | 305
   Element nr 307: 306 | 306
   Element nr 308: 306 | 306
   Element nr 309: 307 | 307
   Element nr 310: 307 | 307
   Element nr 311: 307 | 307
   Element nr 312: 308 | 308
   Element nr 313: 308 | 308
   Element nr 314: 314 | 314
   Element nr 315: 315 | 315
   Element nr 316: 315 | 315
   Element nr 317: 315 | 315
   Element nr 318: 316 | 316
   Element nr 319: 316 | 316
   Element nr 320: 318 | 318
   Element nr 321: 318 | 318
   Element nr 322: 318 | 318
   Element nr 323: 319 | 319
   Element nr 324: 319 | 319
   Element nr 325: 320 | 320
   Element nr 326: 321 | 321
   Element nr 327: 321 | 321
   Element nr 328: 322 | 322
   Element nr 329: 322 | 322
   Element nr 330: 325 | 325
   Element nr 331: 326 | 326
   Element nr 332: 328 | 328
   Element nr 333: 329 | 329
   Element nr 334: 329 | 329
   Element nr 335: 332 | 332
   Element nr 336: 333 | 333
   Element nr 337: 333 | 333
   Element nr 338: 334 | 334
   Element nr 339: 334 | 334
   Element nr 340: 335 | 335
   Element nr 341: 335 | 335
   Element nr 342: 335 | 335
   Element nr 343: 336 | 336
   Element nr 344: 337 | 337
   Element nr 345: 337 | 337
   Element nr 346: 337 | 337
   Element nr 347: 338 | 338
   Element nr 348: 343 | 343
   Element nr 349: 347 | 347
   Element nr 350: 347 | 347
   Element nr 351: 350 | 350
   Element nr 352: 351 | 351
   Element nr 353: 351 | 351
   Element nr 354: 353 | 353
   Element nr 355: 354 | 354
   Element nr 356: 354 | 354
   Element nr 357: 354 | 354
   Element nr 358: 355 | 355
   Element nr 359: 355 | 355
   Element nr 360: 356 | 356
   Element nr 361: 356 | 356
   Element nr 362: 358 | 358
   Element nr 363: 358 | 358
   Element nr 364: 359 | 359
   Element nr 365: 359 | 359
   Element nr 366: 360 | 360
   Element nr 367: 364 | 364
   Element nr 368: 365 | 365
   Element nr 369: 371 | 371
   Element nr 370: 371 | 371
   Element nr 371: 373 | 373
   Element nr 372: 374 | 374
   Element nr 373: 374 | 374
   Element nr 374: 375 | 375
   Element nr 375: 375 | 375
   Element nr 376: 375 | 375
   Element nr 377: 375 | 375
   Element nr 378: 376 | 376
   Element nr 379: 376 | 376
   Element nr 380: 377 | 377
   Element nr 381: 377 | 377
   Element nr 382: 381 | 381
   Element nr 383: 382 | 382
   Element nr 384: 382 | 382
   Element nr 385: 384 | 384
   Element nr 386: 384 | 384
   Element nr 387: 385 | 385
   Element nr 388: 385 | 385
   Element nr 389: 386 | 386
   Element nr 390: 387 | 387
   Element nr 391: 388 | 388
   Element nr 392: 388 | 388
   Element nr 393: 389 | 389
   Element nr 394: 390 | 390
   Element nr 395: 391 | 391
   Element nr 396: 392 | 392
   Element nr 397: 393 | 393
   Element nr 398: 394 | 394
   Element nr 399: 394 | 394
   Element nr 400: 395 | 395
   Element nr 401: 395 | 395
   Element nr 402: 396 | 396
   Element nr 403: 396 | 396
   Element nr 404: 397 | 397
   Element nr 405: 397 | 397
   Element nr 406: 397 | 397
   Element nr 407: 398 | 398
   Element nr 408: 398 | 398
   Element nr 409: 398 | 398
   Element nr 410: 399 | 399
   Element nr 411: 399 | 399
   Element nr 412: 399 | 399
   Element nr 413: 400 | 400
   Element nr 414: 402 | 402
   Element nr 415: 405 | 405
   Element nr 416: 406 | 406
   Element nr 417: 408 | 408
   Element nr 418: 409 | 409
   Element nr 419: 411 | 411
   Element nr 420: 411 | 411
   Element nr 421: 412 | 412
   Element nr 422: 412 | 412
   Element nr 423: 413 | 413
   Element nr 424: 414 | 414
   Element nr 425: 414 | 414
   Element nr 426: 419 | 419
   Element nr 427: 419 | 419
   Element nr 428: 419 | 419
   Element nr 429: 420 | 420
   Element nr 430: 421 | 421
   Element nr 431: 422 | 422
   Element nr 432: 422 | 422
   Element nr 433: 423 | 423
   Element nr 434: 424 | 424
   Element nr 435: 427 | 427
   Element nr 436: 429 | 429
   Element nr 437: 429 | 429
   Element nr 438: 429 | 429
   Element nr 439: 430 | 430
   Element nr 440: 430 | 430
   Element nr 441: 433 | 433
   Element nr 442: 433 | 433
   Element nr 443: 434 | 434
   Element nr 444: 435 | 435
   Element nr 445: 435 | 435
   Element nr 446: 435 | 435
   Element nr 447: 437 | 437
   Element nr 448: 438 | 438
   Element nr 449: 439 | 439
   Element nr 450: 439 | 439
   Element nr 451: 441 | 441
   Element nr 452: 441 | 441
   Element nr 453: 441 | 441
   Element nr 454: 442 | 442
   Element nr 455: 442 | 442
   Element nr 456: 443 | 443
   Element nr 457: 443 | 443
   Element nr 458: 444 | 444
   Element nr 459: 444 | 444
   Element nr 460: 446 | 446
   Element nr 461: 449 | 449
   Element nr 462: 451 | 451
   Element nr 463: 451 | 451
   Element nr 464: 452 | 452
   Element nr 465: 452 | 452
   Element nr 466: 453 | 453
   Element nr 467: 454 | 454
   Element nr 468: 454 | 454
   Element nr 469: 455 | 455
   Element nr 470: 455 | 455
   Element nr 471: 456 | 456
   Element nr 472: 457 | 457
   Element nr 473: 457 | 457
   Element nr 474: 457 | 457
   Element nr 475: 458 | 458
   Element nr 476: 459 | 459
   Element nr 477: 459 | 459
   Element nr 478: 460 | 460
   Element nr 479: 460 | 460
   Element nr 480: 462 | 462
   Element nr 481: 464 | 464
   Element nr 482: 464 | 464
   Element nr 483: 466 | 466
   Element nr 484: 468 | 468
   Element nr 485: 469 | 469
   Element nr 486: 469 | 469
   Element nr 487: 470 | 470
   Element nr 488: 472 | 472
   Element nr 489: 475 | 475
   Element nr 490: 476 | 476
   Element nr 491: 476 | 476
   Element nr 492: 477 | 477
   Element nr 493: 478 | 478
   Element nr 494: 479 | 479
   Element nr 495: 480 | 480
   Element nr 496: 480 | 480
   Element nr 497: 485 | 485
   Element nr 498: 485 | 485
   Element nr 499: 486 | 486
   Element nr 500: 486 | 486
   Element nr 501: 487 | 487
   Element nr 502: 487 | 487
   Element nr 503: 488 | 488
   Element nr 504: 492 | 492
   Element nr 505: 492 | 492
   Element nr 506: 496 | 496
   Element nr 507: 496 | 496
   Element nr 508: 498 | 498
   Element nr 509: 499 | 499
   Element nr 510: 500 | 500
   Element nr 511: 500 | 500
   Element nr 512: 500 | 500
   Element nr 513: 501 | 501
   Element nr 514: 503 | 503
   Element nr 515: 504 | 504
   Element nr 516: 506 | 506
   Element nr 517: 506 | 506
   Element nr 518: 507 | 507
   Element nr 519: 508 | 508
   Element nr 520: 508 | 508
   Element nr 521: 509 | 509
   Element nr 522: 510 | 510
   Element nr 523: 510 | 510
   Element nr 524: 511 | 511
   Element nr 525: 512 | 512
   Element nr 526: 512 | 512
   Element nr 527: 512 | 512
   Element nr 528: 512 | 512
   Element nr 529: 513 | 513
   Element nr 530: 513 | 513
   Element nr 531: 514 | 514
   Element nr 532: 516 | 516
   Element nr 533: 516 | 516
   Element nr 534: 517 | 517
   Element nr 535: 518 | 518
   Element nr 536: 518 | 518
   Element nr 537: 518 | 518
   Element nr 538: 519 | 519
   Element nr 539: 520 | 520
   Element nr 540: 521 | 521
   Element nr 541: 521 | 521
   Element nr 542: 522 | 522
   Element nr 543: 522 | 522
   Element nr 544: 522 | 522
   Element nr 545: 522 | 522
   Element nr 546: 524 | 524
   Element nr 547: 525 | 525
   Element nr 548: 525 | 525
   Element nr 549: 525 | 525
   Element nr 550: 526 | 526
   Element nr 551: 528 | 528
   Element nr 552: 531 | 531
   Element nr 553: 531 | 531
   Element nr 554: 533 | 533
   Element nr 555: 536 | 536
   Element nr 556: 539 | 539
   Element nr 557: 543 | 543
   Element nr 558: 544 | 544
   Element nr 559: 545 | 545
   Element nr 560: 546 | 546
   Element nr 561: 547 | 547
   Element nr 562: 551 | 551
   Element nr 563: 552 | 552
   Element nr 564: 552 | 552
   Element nr 565: 553 | 553
   Element nr 566: 554 | 554
   Element nr 567: 555 | 555
   Element nr 568: 556 | 556
   Element nr 569: 556 | 556
   Element nr 570: 559 | 559
   Element nr 571: 560 | 560
   Element nr 572: 563 | 563
   Element nr 573: 563 | 563
   Element nr 574: 564 | 564
   Element nr 575: 564 | 564
   Element nr 576: 564 | 564
   Element nr 577: 565 | 565
   Element nr 578: 568 | 568
   Element nr 579: 569 | 569
   Element nr 580: 570 | 570
   Element nr 581: 570 | 570
   Element nr 582: 571 | 571
   Element nr 583: 574 | 574
   Element nr 584: 574 | 574
   Element nr 585: 575 | 575
   Element nr 586: 575 | 575
   Element nr 587: 576 | 576
   Element nr 588: 577 | 577
   Element nr 589: 578 | 578
   Element nr 590: 580 | 580
   Element nr 591: 581 | 581
   Element nr 592: 582 | 582
   Element nr 593: 583 | 583
   Element nr 594: 584 | 584
   Element nr 595: 585 | 585
   Element nr 596: 588 | 588
   Element nr 597: 591 | 591
   Element nr 598: 593 | 593
   Element nr 599: 593 | 593
   Element nr 600: 593 | 593
   Element nr 601: 594 | 594
   Element nr 602: 594 | 594
   Element nr 603: 595 | 595
   Element nr 604: 596 | 596
   Element nr 605: 599 | 599
   Element nr 606: 599 | 599
   Element nr 607: 600 | 600
   Element nr 608: 601 | 601
   Element nr 609: 601 | 601
   Element nr 610: 602 | 602
   Element nr 611: 602 | 602
   Element nr 612: 603 | 603
   Element nr 613: 604 | 604
   Element nr 614: 608 | 608
   Element nr 615: 608 | 608
   Element nr 616: 610 | 610
   Element nr 617: 610 | 610
   Element nr 618: 611 | 611
   Element nr 619: 611 | 611
   Element nr 620: 614 | 614
   Element nr 621: 615 | 615
   Element nr 622: 615 | 615
   Element nr 623: 616 | 616
   Element nr 624: 620 | 620
   Element nr 625: 623 | 623
   Element nr 626: 623 | 623
   Element nr 627: 624 | 624
   Element nr 628: 625 | 625
   Element nr 629: 626 | 626
   Element nr 630: 627 | 627
   Element nr 631: 628 | 628
   Element nr 632: 630 | 630
   Element nr 633: 631 | 631
   Element nr 634: 633 | 633
   Element nr 635: 633 | 633
   Element nr 636: 634 | 634
   Element nr 637: 636 | 636
   Element nr 638: 636 | 636
   Element nr 639: 636 | 636
   Element nr 640: 637 | 637
   Element nr 641: 637 | 637
   Element nr 642: 638 | 638
   Element nr 643: 639 | 639
   Element nr 644: 639 | 639
   Element nr 645: 646 | 646
   Element nr 646: 646 | 646
   Element nr 647: 646 | 646
   Element nr 648: 647 | 647
   Element nr 649: 647 | 647
   Element nr 650: 647 | 647
   Element nr 651: 648 | 648
   Element nr 652: 649 | 649
   Element nr 653: 650 | 650
   Element nr 654: 651 | 651
   Element nr 655: 652 | 652
   Element nr 656: 654 | 654
   Element nr 657: 654 | 654
   Element nr 658: 654 | 654
   Element nr 659: 656 | 656
   Element nr 660: 656 | 656
   Element nr 661: 657 | 657
   Element nr 662: 658 | 658
   Element nr 663: 658 | 658
   Element nr 664: 659 | 659
   Element nr 665: 659 | 659
   Element nr 666: 662 | 662
   Element nr 667: 663 | 663
   Element nr 668: 663 | 663
   Element nr 669: 663 | 663
   Element nr 670: 663 | 663
   Element nr 671: 665 | 665
   Element nr 672: 668 | 668
   Element nr 673: 669 | 669
   Element nr 674: 671 | 671
   Element nr 675: 671 | 671
   Element nr 676: 672 | 672
   Element nr 677: 672 | 672
   Element nr 678: 673 | 673
   Element nr 679: 674 | 674
   Element nr 680: 674 | 674
   Element nr 681: 674 | 674
   Element nr 682: 676 | 676
   Element nr 683: 677 | 677
   Element nr 684: 679 | 679
   Element nr 685: 681 | 681
   Element nr 686: 681 | 681
   Element nr 687: 682 | 682
   Element nr 688: 682 | 682
   Element nr 689: 684 | 684
   Element nr 690: 686 | 686
   Element nr 691: 687 | 687
   Element nr 692: 687 | 687
   Element nr 693: 688 | 688
   Element nr 694: 689 | 689
   Element nr 695: 690 | 690
   Element nr 696: 690 | 690
   Element nr 697: 690 | 690
   Element nr 698: 690 | 690
   Element nr 699: 690 | 690
   Element nr 700: 694 | 694
   Element nr 701: 695 | 695
   Element nr 702: 698 | 698
   Element nr 703: 698 | 698
   Element nr 704: 699 | 699
   Element nr 705: 699 | 699
   Element nr 706: 700 | 700
   Element nr 707: 700 | 700
   Element nr 708: 700 | 700
   Element nr 709: 702 | 702
   Element nr 710: 703 | 703
   Element nr 711: 704 | 704
   Element nr 712: 710 | 710
   Element nr 713: 710 | 710
   Element nr 714: 711 | 711
   Element nr 715: 713 | 713
   Element nr 716: 716 | 716
   Element nr 717: 716 | 716
   Element nr 718: 716 | 716
   Element nr 719: 718 | 718
   Element nr 720: 719 | 719
   Element nr 721: 721 | 721
   Element nr 722: 722 | 722
   Element nr 723: 722 | 722
   Element nr 724: 724 | 724
   Element nr 725: 724 | 724
   Element nr 726: 726 | 726
   Element nr 727: 728 | 728
   Element nr 728: 729 | 729
   Element nr 729: 730 | 730
   Element nr 730: 730 | 730
   Element nr 731: 730 | 730
   Element nr 732: 732 | 732
   Element nr 733: 732 | 732
   Element nr 734: 733 | 733
   Element nr 735: 734 | 734
   Element nr 736: 734 | 734
   Element nr 737: 735 | 735
   Element nr 738: 736 | 736
   Element nr 739: 739 | 739
   Element nr 740: 739 | 739
   Element nr 741: 740 | 740
   Element nr 742: 741 | 741
   Element nr 743: 741 | 741
   Element nr 744: 745 | 745
   Element nr 745: 745 | 745
   Element nr 746: 746 | 746
   Element nr 747: 747 | 747
   Element nr 748: 748 | 748
   Element nr 749: 748 | 748
   Element nr 750: 748 | 748
   Element nr 751: 749 | 749
   Element nr 752: 751 | 751
   Element nr 753: 752 | 752
   Element nr 754: 752 | 752
   Element nr 755: 752 | 752
   Element nr 756: 753 | 753
   Element nr 757: 753 | 753
   Element nr 758: 753 | 753
   Element nr 759: 754 | 754
   Element nr 760: 754 | 754
   Element nr 761: 756 | 756
   Element nr 762: 758 | 758
   Element nr 763: 759 | 759
   Element nr 764: 763 | 763
   Element nr 765: 764 | 764
   Element nr 766: 764 | 764
   Element nr 767: 765 | 765
   Element nr 768: 766 | 766
   Element nr 769: 767 | 767
   Element nr 770: 769 | 769
   Element nr 771: 770 | 770
   Element nr 772: 770 | 770
   Element nr 773: 771 | 771
   Element nr 774: 771 | 771
   Element nr 775: 771 | 771
   Element nr 776: 772 | 772
   Element nr 777: 772 | 772
   Element nr 778: 772 | 772
   Element nr 779: 773 | 773
   Element nr 780: 775 | 775
   Element nr 781: 778 | 778
   Element nr 782: 780 | 780
   Element nr 783: 780 | 780
   Element nr 784: 780 | 780
   Element nr 785: 781 | 781
   Element nr 786: 783 | 783
   Element nr 787: 784 | 784
   Element nr 788: 785 | 785
   Element nr 789: 786 | 786
   Element nr 790: 789 | 789
   Element nr 791: 791 | 791
   Element nr 792: 791 | 791
   Element nr 793: 791 | 791
   Element nr 794: 794 | 794
   Element nr 795: 795 | 795
   Element nr 796: 795 | 795
   Element nr 797: 797 | 797
   Element nr 798: 798 | 798
   Element nr 799: 799 | 799
   Element nr 800: 799 | 799
   Element nr 801: 800 | 800
   Element nr 802: 802 | 802
   Element nr 803: 802 | 802
   Element nr 804: 803 | 803
   Element nr 805: 804 | 804
   Element nr 806: 804 | 804
   Element nr 807: 804 | 804
   Element nr 808: 806 | 806
   Element nr 809: 807 | 807
   Element nr 810: 807 | 807
   Element nr 811: 808 | 808
   Element nr 812: 808 | 808
   Element nr 813: 809 | 809
   Element nr 814: 810 | 810
   Element nr 815: 812 | 812
   Element nr 816: 814 | 814
   Element nr 817: 814 | 814
   Element nr 818: 815 | 815
   Element nr 819: 816 | 816
   Element nr 820: 817 | 817
   Element nr 821: 820 | 820
   Element nr 822: 820 | 820
   Element nr 823: 820 | 820
   Element nr 824: 820 | 820
   Element nr 825: 822 | 822
   Element nr 826: 822 | 822
   Element nr 827: 823 | 823
   Element nr 828: 823 | 823
   Element nr 829: 824 | 824
   Element nr 830: 825 | 825
   Element nr 831: 827 | 827
   Element nr 832: 828 | 828
   Element nr 833: 828 | 828
   Element nr 834: 828 | 828
   Element nr 835: 829 | 829
   Element nr 836: 830 | 830
   Element nr 837: 830 | 830
   Element nr 838: 830 | 830
   Element nr 839: 830 | 830
   Element nr 840: 831 | 831
   Element nr 841: 831 | 831
   Element nr 842: 831 | 831
   Element nr 843: 831 | 831
   Element nr 844: 832 | 832
   Element nr 845: 832 | 832
   Element nr 846: 833 | 833
   Element nr 847: 833 | 833
   Element nr 848: 837 | 837
   Element nr 849: 839 | 839
   Element nr 850: 839 | 839
   Element nr 851: 841 | 841
   Element nr 852: 842 | 842
   Element nr 853: 844 | 844
   Element nr 854: 845 | 845
   Element nr 855: 845 | 845
   Element nr 856: 848 | 848
   Element nr 857: 848 | 848
   Element nr 858: 849 | 849
   Element nr 859: 849 | 849
   Element nr 860: 850 | 850
   Element nr 861: 851 | 851
   Element nr 862: 854 | 854
   Element nr 863: 855 | 855
   Element nr 864: 856 | 856
   Element nr 865: 858 | 858
   Element nr 866: 858 | 858
   Element nr 867: 860 | 860
   Element nr 868: 861 | 861
   Element nr 869: 861 | 861
   Element nr 870: 864 | 864
   Element nr 871: 864 | 864
   Element nr 872: 865 | 865
   Element nr 873: 869 | 869
   Element nr 874: 869 | 869
   Element nr 875: 871 | 871
   Element nr 876: 873 | 873
   Element nr 877: 873 | 873
   Element nr 878: 874 | 874
   Element nr 879: 874 | 874
   Element nr 880: 875 | 875
   Element nr 881: 877 | 877
   Element nr 882: 878 | 878
   Element nr 883: 879 | 879
   Element nr 884: 880 | 880
   Element nr 885: 880 | 880
   Element nr 886: 881 | 881
   Element nr 887: 881 | 881
   Element nr 888: 882 | 882
   Element nr 889: 882 | 882
   Element nr 890: 882 | 882
   Element nr 891: 882 | 882
   Element nr 892: 883 | 883
   Element nr 893: 885 | 885
   Element nr 894: 887 | 887
   Element nr 895: 887 | 887
   Element nr 896: 887 | 887
   Element nr 897: 888 | 888
   Element nr 898: 888 | 888
   Element nr 899: 891 | 891
   Element nr 900: 891 | 891
   Element nr 901: 892 | 892
   Element nr 902: 892 | 892
   Element nr 903: 892 | 892
   Element nr 904: 893 | 893
   Element nr 905: 894 | 894
   Element nr 906: 896 | 896
   Element nr 907: 896 | 896
   Element nr 908: 898 | 898
   Element nr 909: 899 | 899
   Element nr 910: 900 | 900
   Element nr 911: 901 | 901
   Element nr 912: 902 | 902
   Element nr 913: 903 | 903
   Element nr 914: 905 | 905
   Element nr 915: 905 | 905
   Element nr 916: 906 | 906
   Element nr 917: 907 | 907
   Element nr 918: 909 | 909
   Element nr 919: 910 | 910
   Element nr 920: 913 | 913
   Element nr 921: 913 | 913
   Element nr 922: 914 | 914
   Element nr 923: 915 | 915
